id,date,store_id,store_name,channel,product_sku,product_name,forecasted_units,confidence_level,forecast_method,upper_bound,lower_bound,historical_avg,promotion_flag,seasonality_factor
FC0001,2025-10-27,Store-Chicago-001,Chicago Magnificent Mile,Retail Store,MR_HAIR_101,Premium Hair Color Kit,20,0.92,Prophet/ML,23,17,20,No,1.0
FC0002,2025-10-27,Store-NYC-015,NYC Fifth Avenue,Retail Store,MR_HAIR_101,Premium Hair Color Kit,27,0.94,ARIMA,31,23,27,No,1.0
FC0003,2025-10-27,Store-Boston-022,Boston Newbury St,Retail Store,MR_HAIR_101,Premium Hair Color Kit,25,0.91,Prophet/ML,29,21,25,No,1.0
FC0004,2025-10-27,Store-Philly-018,Philadelphia Rittenhouse,Retail Store,MR_HAIR_101,Premium Hair Color Kit,22,0.9,ARIMA,26,18,22,No,1.0
FC0005,2025-10-27,Store-DC-Metro-012,DC Georgetown,Retail Store,MR_HAIR_101,Premium Hair Color Kit,23,0.89,Prophet/ML,27,19,23,No,1.0
FC0006,2025-10-27,Store-Baltimore-009,Baltimore Harbor,Retail Store,MR_HAIR_101,Premium Hair Color Kit,20,0.88,ARIMA,24,16,20,No,1.0
FC0007,2025-10-27,Store-Dallas-019,Dallas Galleria,Retail Store,MR_HAIR_101,Premium Hair Color Kit,18,0.93,Prophet/ML,21,15,18,No,1.0
FC0008,2025-10-27,Store-Miami-008,Miami Design District,Retail Store,MR_HAIR_101,Premium Hair Color Kit,22,0.91,ARIMA,26,18,22,No,1.0
FC0009,2025-10-27,Store-Minneapolis-031,Minneapolis Mall,Retail Store,MR_HAIR_101,Premium Hair Color Kit,19,0.9,Prophet/ML,23,15,19,No,1.0
FC0010,2025-10-27,Store-Detroit-025,Detroit Somerset,Retail Store,MR_HAIR_101,Premium Hair Color Kit,17,0.89,ARIMA,20,14,17,No,1.0
FC0011,2025-10-27,Store-STL-014,St Louis Plaza,Retail Store,MR_HAIR_101,Premium Hair Color Kit,16,0.87,Prophet/ML,19,13,16,No,1.0
FC0012,2025-10-27,Store-KC-027,Kansas City Plaza,Retail Store,MR_HAIR_101,Premium Hair Color Kit,15,0.86,ARIMA,18,12,15,No,1.0
FC0013,2025-10-28,Store-Chicago-001,Chicago Magnificent Mile,Retail Store,MR_HAIR_101,Premium Hair Color Kit,19,0.9,Prophet/ML,22,16,20,No,0.95
FC0014,2025-10-28,Store-NYC-015,NYC Fifth Avenue,Retail Store,MR_HAIR_101,Premium Hair Color Kit,26,0.91,ARIMA,30,22,27,No,0.96
FC0015,2025-10-27,Store-Chicago-001,Chicago Magnificent Mile,Retail Store,MR_HAIR_102,Root Touch-Up Kit,12,0.88,Time Series,15,9,11,Yes,1.15
